"coordinates","retweeted","source","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__id","entities__media__media_url_https","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors____-","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/WSm4IlosmD","https://twngo.cf/2KsaLay","twngo.cf/2KsaLay","49.0","72.0","","","","","","","","","","","","","","","0.0","72.0","0.0","null","null","1011954699606614019","null","False","0.0","1.01195469960661402E18","null","False","Wed Jun 27 12:49:36 +0000 2018","null","False","[公民行動資料庫]【聲明】亞太學院師生持續爭取下 教育部終於承諾：只要還有學生，就不會核定停辦！ https://t.co/WSm4IlosmD","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/mLLrzrAo4a","https://twngo.cf/2KnL3E4","twngo.cf/2KnL3E4","35.0","58.0","","","","","","","","","","","","","","","0.0","58.0","0.0","null","null","1011940759610822657","null","False","0.0","1.01194075961082266E18","null","False","Wed Jun 27 11:54:12 +0000 2018","null","False","[公民行動資料庫]勞動部勸「勞權公投案」要審慎 勞團痛批打壓、護資方 https://t.co/mLLrzrAo4a","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/G7wpwvG5Vm","https://twngo.cf/2lBzE8M","twngo.cf/2lBzE8M","54.0","77.0","","","","","","","","","","","","","","","0.0","77.0","0.0","null","null","1011917833415118849","null","False","0.0","1.01191783341511885E18","null","False","Wed Jun 27 10:23:06 +0000 2018","null","False","台灣同志諮詢熱線 Taiwan Tongzhi Hotline just uploaded a video https://t.co/G7wpwvG5Vm","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/yzTKSYu01a","https://twngo.cf/2IvixOY","twngo.cf/2IvixOY","38.0","61.0","","","","","","","","","","","","","","","0.0","61.0","0.0","null","null","1011911219068985344","null","False","0.0","1.01191121906898534E18","null","False","Wed Jun 27 09:56:49 +0000 2018","null","False","[環資訊息]20％面積引進未登記工廠等同20％排放？ 「神岡豐洲」還需補件 https://t.co/yzTKSYu01a","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/xWwmiye4By","https://twngo.cf/2tO2KWn","twngo.cf/2tO2KWn","40.0","63.0","","","","","","","","","","","","","","","0.0","63.0","0.0","null","null","1011864752627372032","null","False","0.0","1.01186475262737203E18","null","False","Wed Jun 27 06:52:11 +0000 2018","null","False","[公督盟訊息]失控！國家百億預算待解凍！ 107年國營事業預算延宕209天！  https://t.co/xWwmiye4By","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/wPujdCcvGM","https://twngo.cf/2IvsD2u","twngo.cf/2IvsD2u","43.0","66.0","","","","","","","","","","","","","","","0.0","66.0","0.0","null","null","1011841841183027201","null","False","0.0","1.0118418411830272E18","null","False","Wed Jun 27 05:21:08 +0000 2018","null","False","[環資訊息]環保署：汽機車排放減量供抵換  僅限高屏 老車加嚴 四行程有保養不受影響 https://t.co/wPujdCcvGM","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/VpzupVBjAj","https://twngo.cf/2IsHmes","twngo.cf/2IsHmes","26.0","49.0","","","","","","","","","","","","","","","0.0","49.0","0.0","null","null","1011816706732363776","null","False","0.0","1.01181670673236378E18","null","False","Wed Jun 27 03:41:16 +0000 2018","null","False","[環資訊息]發現新種「梅峰石蜈蚣」 第二性徵成關鍵 https://t.co/VpzupVBjAj","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/RIrfPpem6R","https://twngo.cf/2KswHSA","twngo.cf/2KswHSA","30.0","53.0","","","","","","","","","","","","","","","0.0","53.0","0.0","null","null","1011814264208838656","null","False","0.0","1.01181426420883866E18","null","False","Wed Jun 27 03:31:33 +0000 2018","null","False","[環資訊息]嶐嶐溪巡查日記：跨過固床工河段上溯遇見自然野溪 https://t.co/RIrfPpem6R","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/JGb4ysdH0G","https://twngo.cf/2tHgzpv","twngo.cf/2tHgzpv","27.0","50.0","","","","","","","","","","","","","","","0.0","50.0","0.0","null","null","1011805367624495104","null","False","0.0","1.0118053676244951E18","null","False","Wed Jun 27 02:56:12 +0000 2018","null","False","[環資訊息]都市裡養老虎？  美國家虎竟比全球野虎多 https://t.co/JGb4ysdH0G","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/VRcdyzlXMa","https://twngo.cf/2KaqRJR","twngo.cf/2KaqRJR","42.0","65.0","","","","","","","","","","","","","","","0.0","65.0","0.0","null","null","1011653876095901696","null","False","0.0","1.0116538760959017E18","null","False","Tue Jun 26 16:54:14 +0000 2018","null","False","[親子共學訊息]【2018年7/28~7/29嘉義親子共學家庭教育實踐班】課程簡章 https://t.co/VRcdyzlXMa","zh","","null","null","null","","","","","","","","","","","","","",""
