"coordinates","retweeted","source","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__id","entities__media__media_url_https","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/iYTZz7Dyxe","http://ift.tt/2kVW05n","ift.tt/2kVW05n","21.0","44.0","","","","","","","","","","","","","","","0.0","44.0","0.0","null","null","832198921392889856","null","False","0.0","8.3219892139288986E17","null","False","Thu Feb 16 12:04:19 +0000 2017","null","False","[蠻野心足訊息]【誠徵】全職公益案件律師 https://t.co/iYTZz7Dyxe","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Y1wvhWddSH","http://ift.tt/2lVs4nu","ift.tt/2lVs4nu","25.0","48.0","","","","","","","","","","","","","","","0.0","48.0","0.0","null","null","832198919249592320","null","False","0.0","8.3219891924959232E17","null","False","Thu Feb 16 12:04:18 +0000 2017","null","False","[蠻野心足訊息]【蠻野講堂】桃園藻礁的美麗與哀愁 https://t.co/Y1wvhWddSH","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/B0uAkHTFKT","http://ift.tt/2laKD7Z","ift.tt/2laKD7Z","32.0","55.0","","","","","","","","","","","","","","","0.0","55.0","0.0","null","null","832176025803046912","null","False","0.0","8.3217602580304691E17","null","False","Thu Feb 16 10:33:20 +0000 2017","null","False","[同志熱線訊息]03/11（六）跨性別主題討論會：性愉悅與實踐 https://t.co/B0uAkHTFKT","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/zpP3jYtFvK","http://ift.tt/2lRYXSN","ift.tt/2lRYXSN","48.0","71.0","","","","","","","","","","","","","","","0.0","71.0","0.0","null","null","832176004886061057","null","False","0.0","8.3217600488606106E17","null","False","Thu Feb 16 10:33:15 +0000 2017","null","False","[愛滋感染者權益]【權促電子報】第19 期：愛滋醫療費用自2017/2/4起，部分回歸全民健保 https://t.co/zpP3jYtFvK","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/KvevHHFxAI","http://ift.tt/2lUZnHf","ift.tt/2lUZnHf","50.0","73.0","","","","","","","","","","","","","","","0.0","73.0","0.0","null","null","832175966201978884","null","False","0.0","8.3217596620197888E17","null","False","Thu Feb 16 10:33:06 +0000 2017","null","False","[護家盟訊息]【公告】自2/15起，一夫一妻公投連署書請寄至「23199 新店大坪林郵局第44號」 https://t.co/KvevHHFxAI","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/ThghOkDEo0","http://ift.tt/2kVE3E4","ift.tt/2kVE3E4","39.0","62.0","","","","","","","","","","","","","","","0.0","62.0","0.0","null","null","832168696802054144","null","False","0.0","8.3216869680205414E17","null","False","Thu Feb 16 10:04:12 +0000 2017","null","False","[蠻野心足訊息]【講堂紀實】壓垮柯P文資新政的最後一枝稻草 ─ 「嘉禾新村」 https://t.co/ThghOkDEo0","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/OwQ12Ly78V","http://ift.tt/2kVK9nX","ift.tt/2kVK9nX","30.0","53.0","","","","","","","","","","","","","","","0.0","53.0","0.0","null","null","832161669715484672","null","False","0.0","8.3216166971548467E17","null","False","Thu Feb 16 09:36:17 +0000 2017","null","False","[環盟訊息][敬邀] 20170304 東北角生態鐵馬之旅 https://t.co/OwQ12Ly78V","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/82nzZ7c7Zu","http://ift.tt/2ksLcx4","ift.tt/2ksLcx4","21.0","44.0","","","","","","","","","","","","","","","0.0","44.0","0.0","null","null","832150207630602244","null","False","0.0","8.3215020763060224E17","null","False","Thu Feb 16 08:50:44 +0000 2017","null","False","[司改會訊息]警察的問案品質可能不靠譜？ https://t.co/82nzZ7c7Zu","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/dSyu4yjKyh","http://ift.tt/2lNSUC3","ift.tt/2lNSUC3","35.0","58.0","","","","","","","","","","","","","","","0.0","58.0","0.0","null","null","832147287631622144","null","False","0.0","8.3214728763162214E17","null","False","Thu Feb 16 08:39:08 +0000 2017","null","False","[環資訊息]工業空污南北承擔不均   環團控訴「一個天空、二個台灣」 https://t.co/dSyu4yjKyh","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/QMqY1pm4Cf","http://ift.tt/2lU7O5Q","ift.tt/2lU7O5Q","44.0","67.0","","","","","","","","","","","","","","","0.0","67.0","0.0","null","null","832134485718204416","null","False","0.0","8.3213448571820442E17","null","False","Thu Feb 16 07:48:16 +0000 2017","null","False","[同志熱線訊息]2017年 【親密】慾見和她的那些小事 　女女情色團體 Part IV https://t.co/QMqY1pm4Cf","zh","null","null","null","","","","","","","","","","","","","",""
