"coordinates","retweeted","source","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__id","entities__media__media_url_https","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/lGjW2EoliF","http://to.twngo.xyz/2tp6oH8","to.twngo.xyz/2tp6oH8","37.0","60.0","","","","","","","","","","","","","","","0.0","60.0","0.0","null","null","883321362936410114","null","False","0.0","8.8332136293641011E17","null","False","Fri Jul 07 13:46:38 +0000 2017","null","False","cepu 彰化縣環境保護聯盟 just uploaded a video https://t.co/lGjW2EoliF","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/dLGlmI3uP2","http://to.twngo.xyz/2tZHfV1","to.twngo.xyz/2tZHfV1","37.0","60.0","","","","","","","","","","","","","","","0.0","60.0","0.0","null","null","883318723695792128","null","False","0.0","8.8331872369579213E17","null","False","Fri Jul 07 13:36:09 +0000 2017","null","False","cepu 彰化縣環境保護聯盟 just uploaded a video https://t.co/dLGlmI3uP2","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Qs3OqLbREH","http://to.twngo.xyz/2tZlc0K","to.twngo.xyz/2tZlc0K","31.0","54.0","","","","","","","","","","","","","","","0.0","54.0","0.0","null","null","883316553156087808","null","False","0.0","8.8331655315608781E17","null","False","Fri Jul 07 13:27:32 +0000 2017","null","False","New videos from cepu 彰化縣環境保護聯盟 https://t.co/Qs3OqLbREH","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Tt1MrcXoG2","http://to.twngo.xyz/2uydl7d","to.twngo.xyz/2uydl7d","31.0","54.0","","","","","","","","","","","","","","","0.0","54.0","0.0","null","null","883316551016992772","null","False","0.0","8.8331655101699277E17","null","False","Fri Jul 07 13:27:31 +0000 2017","null","False","New videos from cepu 彰化縣環境保護聯盟 https://t.co/Tt1MrcXoG2","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/bdA2Q99spf","http://to.twngo.xyz/2uycNyk","to.twngo.xyz/2uycNyk","37.0","60.0","","","","","","","","","","","","","","","0.0","60.0","0.0","null","null","883313781941653504","null","False","0.0","8.833137819416535E17","null","False","Fri Jul 07 13:16:31 +0000 2017","null","False","cepu 彰化縣環境保護聯盟 just uploaded a video https://t.co/bdA2Q99spf","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/JbfXWc3hm7","http://to.twngo.xyz/2tZskdo","to.twngo.xyz/2tZskdo","37.0","60.0","","","","","","","","","","","","","","","0.0","60.0","0.0","null","null","883311324289265665","null","False","0.0","8.8331132428926566E17","null","False","Fri Jul 07 13:06:45 +0000 2017","null","False","cepu 彰化縣環境保護聯盟 just uploaded a video https://t.co/JbfXWc3hm7","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/iEyn2aghrq","http://to.twngo.xyz/2tozoP1","to.twngo.xyz/2tozoP1","41.0","64.0","","","","","","","","","","","","","","","0.0","64.0","0.0","null","null","883295984452857856","null","False","1.0","8.8329598445285786E17","null","False","Fri Jul 07 12:05:48 +0000 2017","null","False","[經民連訊息]【新聞稿】抗議沒有落日的超級大錢坑法案 -前瞻條例暫緩施行立即修正 https://t.co/iEyn2aghrq","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/S04ItzpHkv","http://to.twngo.xyz/2sUtB05","to.twngo.xyz/2sUtB05","34.0","57.0","","","","","","","","","","","","","","","0.0","57.0","0.0","null","null","883295981248421889","null","False","0.0","8.8329598124842189E17","null","False","Fri Jul 07 12:05:47 +0000 2017","null","False","[經民連訊息]7/16【終結歷史錯誤–廢省、廢兩岸條例運動】研討會 https://t.co/S04ItzpHkv","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/jzPwTUVXLu","http://to.twngo.xyz/2tPLnWY","to.twngo.xyz/2tPLnWY","36.0","59.0","","","","","","","","","","","","","","","0.0","59.0","0.0","null","null","883282746201735169","null","False","0.0","8.8328274620173517E17","null","False","Fri Jul 07 11:13:11 +0000 2017","null","False","[環盟訊息]2017年第一屆全國高中職、大專小水力發電設計比賽入圍名單 https://t.co/jzPwTUVXLu","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/ZHbyZCGX9g","http://to.twngo.xyz/2sx5KEy","to.twngo.xyz/2sx5KEy","23.0","46.0","","","","","","","","","","","","","","","0.0","46.0","0.0","null","null","883279003079102465","null","False","0.0","8.8327900307910246E17","null","False","Fri Jul 07 10:58:19 +0000 2017","null","False","[綠色和平台灣]綠色和平研究報告地圖誤植聲明 https://t.co/ZHbyZCGX9g","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/IjbtWW6Vb4","http://to.twngo.xyz/2sOnIqp","to.twngo.xyz/2sOnIqp","33.0","56.0","","","","","","","","","","","","","","","0.0","56.0","0.0","null","null","883278698501349378","null","False","0.0","8.8327869850134938E17","null","False","Fri Jul 07 10:57:06 +0000 2017","null","False","[伴侶盟訊息]【獨家】跨國同性伴侶無法來台依親　政院鬆口研議辦法 https://t.co/IjbtWW6Vb4","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/9NlqYjiMJ8","http://to.twngo.xyz/2txcEuX","to.twngo.xyz/2txcEuX","39.0","62.0","","","","","","","","","","","","","","","0.0","62.0","0.0","null","null","883278696060211200","null","False","0.0","8.832786960602112E17","null","False","Fri Jul 07 10:57:06 +0000 2017","null","False","[伴侶盟訊息]【獨家】政院性平委員為「同婚」問陳美伶：修法小組有無出櫃同志？ https://t.co/9NlqYjiMJ8","zh","null","null","null","","","","","","","","","","","","","",""
