"coordinates","retweeted","source","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors____-","contributors","in_reply_to_screen_name","in_reply_to_user_id_str"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","LGBTIQTaiwan","65.0","78.0","","","","","","","https://t.co/MEMkFmYIEI","https://twngo.cf/2qPEcuq","twngo.cf/2qPEcuq","41.0","64.0","0.0","78.0","0.0","null","null","988440177675784192","null","False","0.0","9.8844017767578419E17","null","False","Mon Apr 23 15:31:17 +0000 2018","null","False","[同志熱線訊息]2018/07/15 同志諮詢熱線20週年募款感恩會 義工招募中 https://t.co/MEMkFmYIEI #LGBTIQTaiwan","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","LGBTIQTaiwan","59.0","72.0","","","","","","","https://t.co/GKtZrbdVRn","https://twngo.cf/2JluCXP","twngo.cf/2JluCXP","35.0","58.0","0.0","72.0","0.0","null","null","988431352000385024","null","False","0.0","9.8843135200038502E17","null","False","Mon Apr 23 14:56:13 +0000 2018","null","False","[同志熱線訊息]2018/07/15 同志諮詢熱線20週年募款感恩會 https://t.co/GKtZrbdVRn #LGBTIQTaiwan","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","LGBTIQTaiwan","52.0","65.0","","","","","","","https://t.co/p6u1fSxkmw","https://twngo.cf/2HSkwy2","twngo.cf/2HSkwy2","28.0","51.0","0.0","65.0","0.0","null","null","988427649134579714","null","False","0.0","9.8842764913457971E17","null","False","Mon Apr 23 14:41:30 +0000 2018","null","False","[同志熱線訊息]同志諮詢熱線20週年募款感恩會開始售票 https://t.co/p6u1fSxkmw #LGBTIQTaiwan","zh","","null","null","null"
"null","False","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","","","","台灣公益責信協會","apa_tw","3.0","10.0","3365088305","3.365088305E9","https://t.co/gPHfu7XMJH","http://bit.ly/2qQEeDf","bit.ly/2qQEeDf","33.0","56.0","0.0","56.0","0.0","null","null","988424275110412289","null","False","0.0","9.8842427511041229E17","null","False","Mon Apr 23 14:28:05 +0000 2018","null","False","RT @apa_tw: 公益責信協會2017年度電子書上線~!\n https://t.co/gPHfu7XMJH","zh","809491.0","","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/MQqR9SgMJi","https://twngo.cf/2qQfdI2","twngo.cf/2qQfdI2","35.0","58.0","0.0","58.0","0.0","null","null","988387911191203840","null","False","0.0","9.8838791119120384E17","null","False","Mon Apr 23 12:03:36 +0000 2018","null","False","[公民行動資料庫]【新聞稿】我們都是利害關係人  對反同公投說「不」 https://t.co/MQqR9SgMJi","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","TechSoup","60.0","69.0","","","","","","","https://t.co/84NIZuMhOb","https://twngo.cf/2F9cYUA","twngo.cf/2F9cYUA","36.0","59.0","0.0","69.0","0.0","null","null","988364949645864963","null","False","0.0","9.8836494964586496E17","null","False","Mon Apr 23 10:32:21 +0000 2018","null","False","[科技濃湯][網二紀錄] 林摩根：如何陪伴捐款人走一段長久穩定的旅程？ https://t.co/84NIZuMhOb #TechSoup","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Ao46GlahQV","https://twngo.cf/2HleiFL","twngo.cf/2HleiFL","20.0","43.0","0.0","43.0","0.0","null","null","988362385034444800","null","False","0.0","9.883623850344448E17","null","False","Mon Apr 23 10:22:10 +0000 2018","null","False","[伴侶盟訊息]中選會應停止違憲反同公投 https://t.co/Ao46GlahQV","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/YG7ZXPteEB","https://twngo.cf/2K5AGVw","twngo.cf/2K5AGVw","28.0","51.0","0.0","51.0","1.0","null","null","988349084481269762","null","False","0.0","9.8834908448126976E17","null","False","Mon Apr 23 09:29:19 +0000 2018","null","False","[環資訊息]深澳爭議越演越烈 台電：打造世界第一流電廠 https://t.co/YG7ZXPteEB","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/DuNCksdF0k","https://twngo.cf/2HTCi3Z","twngo.cf/2HTCi3Z","25.0","48.0","0.0","48.0","0.0","null","null","988339704331464705","null","False","0.0","9.883397043314647E17","null","False","Mon Apr 23 08:52:02 +0000 2018","null","False","媒觀 just uploaded a video https://t.co/DuNCksdF0k","ja","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/JuiosiNMiy","https://twngo.cf/2HU3yiK","twngo.cf/2HU3yiK","27.0","50.0","0.0","50.0","0.0","null","null","988325239452037120","null","False","0.0","9.8832523945203712E17","null","False","Mon Apr 23 07:54:33 +0000 2018","null","False","[蠻野心足訊息][投書] 賭氣待罰 不如早日改址三接 https://t.co/JuiosiNMiy","zh","","null","null","null"
