"coordinates","retweeted","source","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__source_status_id","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__source_user_id","entities__media__id","entities__media__media_url_https","entities__media__source_user_id_str","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__source_status_id_str","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__source_status_id","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__source_user_id","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__source_user_id_str","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__source_status_id_str","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/ibXUULgxh6","http://ift.tt/2w5yyqs","ift.tt/2w5yyqs","32.0","55.0","","","","","","","","","","","","","","","","","","","0.0","55.0","0.0","null","null","900555594456870912","null","False","0.0","9.0055559445687091E17","null","False","Thu Aug 24 03:09:19 +0000 2017","null","False","[環資訊息]大量捕撈飼料魚卻欠缺管理  犧牲海洋的中國養殖漁業 https://t.co/ibXUULgxh6","zh","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/qqcuBdfWLd","http://ift.tt/2wpuPGw","ift.tt/2wpuPGw","33.0","56.0","","","","","","","","","","","","","","","","","","","0.0","56.0","0.0","null","null","900555592103841792","null","False","0.0","9.0055559210384179E17","null","False","Thu Aug 24 03:09:19 +0000 2017","null","False","[環資訊息]走出核電陰影 德能源小鎮衝「儲能」 年產195%綠能 https://t.co/qqcuBdfWLd","zh","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/BTypKalEBD","http://ift.tt/2w5ZZjJ","ift.tt/2w5ZZjJ","36.0","59.0","","","","","","","","","","","","","","","","","","","0.0","59.0","0.0","null","null","900555589306253313","null","False","0.0","9.0055558930625331E17","null","False","Thu Aug 24 03:09:18 +0000 2017","null","False","[環資訊息]全台八色鳥大調查  17年來數量降30%  新竹以北最嚴重 https://t.co/BTypKalEBD","zh","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","China","55.0","61.0","https://t.co/Kbkefn4vqP","http://ift.tt/2xep4ci","ift.tt/2xep4ci","31.0","54.0","","","","","","","","","","","","","","","","","","","0.0","67.0","0.0","null","null","900544762532462592","null","False","0.0","9.0054476253246259E17","null","False","Thu Aug 24 02:26:17 +0000 2017","null","False","[民主書院訊息]《金融時報》：美中若爆發貿易戰 中國損失更大 https://t.co/Kbkefn4vqP #China #中國人權","zh","null","null","null","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","中國人權","62.0","67.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","China","52.0","58.0","https://t.co/dDrMDWDIsb","http://ift.tt/2vZrhtx","ift.tt/2vZrhtx","28.0","51.0","","","","","","","","","","","","","","","","","","","0.0","64.0","0.0","null","null","900544760657715201","null","False","0.0","9.005447606577152E17","null","False","Thu Aug 24 02:26:16 +0000 2017","null","False","[民主書院訊息]港特首回應黃之鋒等入獄案 稱非政治迫害 https://t.co/dDrMDWDIsb #China #中國人權","ja","null","null","null","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","中國人權","59.0","64.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","China","51.0","57.0","https://t.co/OaopvG7QKs","http://ift.tt/2xe1sod","ift.tt/2xe1sod","27.0","50.0","","","","","","","","","","","","","","","","","","","0.0","63.0","0.0","null","null","900544758535380992","null","False","0.0","9.0054475853538099E17","null","False","Thu Aug 24 02:26:16 +0000 2017","null","False","[民主書院訊息]十九大前殺雞儆猴？ 庭審維權律師直播 https://t.co/OaopvG7QKs #China #中國人權","zh","null","null","null","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","中國人權","58.0","63.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/ErsG8WDV8r","http://ift.tt/2v7M3Zi","ift.tt/2v7M3Zi","30.0","53.0","","","","","","","","","","","","","","","","","","","0.0","53.0","0.0","null","null","900544266077958144","null","False","0.0","9.0054426607795814E17","null","False","Thu Aug 24 02:24:18 +0000 2017","null","False","[環資訊息]旱災水災齊發 衣索比亞數百萬人面臨立即死亡威脅 https://t.co/ErsG8WDV8r","zh","null","null","null","","","","","","","","","","","","","","","","","",""
