"coordinates","retweeted","source","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors____-","contributors","in_reply_to_screen_name","in_reply_to_user_id_str"
"","","","","","","","","","中國人權","59.0","64.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","China","57.0","63.0","https://t.co/xQRsahEiD6","http://to.twngo.xyz/2r7FSCx","to.twngo.xyz/2r7FSCx","33.0","56.0","0.0","69.0","0.0","null","null","872994395502587904","null","False","0.0","8.729943955025879E17","null","False","Fri Jun 09 01:50:57 +0000 2017","null","False","[民主書院訊息]港中大調查：逾六成受訪者認為香港整體社會狀況變差 https://t.co/xQRsahEiD6 #China #中國人權","zh","","null","null","null"
"","","","","","","","","","中國人權","64.0","69.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/AZzRJ8m6Hj","http://to.twngo.xyz/2rbhnQ6","to.twngo.xyz/2rbhnQ6","59.0","82.0","0.0","82.0","0.0","null","null","872987955882852352","null","False","0.0","8.7298795588285235E17","null","False","Fri Jun 09 01:25:22 +0000 2017","null","False","民間司法改革基金會: ""20170603 公民不服從七要件？—318判決評析座談會"" and more videos https://t.co/AZzRJ8m6Hj","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/VEWNqHh7Rr","http://to.twngo.xyz/2sIwGBF","to.twngo.xyz/2sIwGBF","28.0","51.0","0.0","51.0","0.0","null","null","872973398133092354","null","False","0.0","8.7297339813309235E17","null","False","Fri Jun 09 00:27:31 +0000 2017","null","False","[親子共學訊息]期待符合孩子需求的親子車廂—樣車會勘記 https://t.co/VEWNqHh7Rr","zh","","null","null","null"
"null","False","<a href=""http://justcoz.org"" rel=""nofollow"">justcoz</a>","NGO news from Taiwan","NGOnewsTW","24.0","34.0","770241326172418048","7.7024132617241805E17","","","","https://t.co/NfqSNGdBCG","http://mo.nu/r/NGOnewsTW/4408/0?uid=4Fcq","mo.nu/r/NGOnewsTW/44…","74.0","97.0","0.0","122.0","0.0","null","null","872875982188720128","null","False","0.0","8.7287598218872013E17","null","False","Thu Jun 08 18:00:26 +0000 2017","null","False","Donate a tweet a day to @NGOnewsTW. Click the link and become a supporter https://t.co/NfqSNGdBCG ☞https://t.co/2CohkiBcXo","en","","null","null","null"
"","","","","","","","","","","","","https://t.co/2CohkiBcXo","http://justcoz.org","justcoz.org","99.0","122.0","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/6osDwHf7aK","http://to.twngo.xyz/2rQbV7h","to.twngo.xyz/2rQbV7h","43.0","66.0","0.0","66.0","0.0","null","null","872844694379782144","null","False","0.0","8.7284469437978214E17","null","False","Thu Jun 08 15:56:06 +0000 2017","null","False","[慈林基金會]2017年「慈林獎助學金」贈送名單＆慈林青少年營梯次名單＆營隊行前通知 https://t.co/6osDwHf7aK","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/j9TXtSjffa","http://to.twngo.xyz/2r6ku0l","to.twngo.xyz/2r6ku0l","44.0","67.0","0.0","67.0","0.0","null","null","872844691993227267","null","False","0.0","8.7284469199322726E17","null","False","Thu Jun 08 15:56:05 +0000 2017","null","False","[慈林基金會]2017年慈林青年營將於8月23~26日舉辦，歡迎18歲以上青年報名參加 https://t.co/j9TXtSjffa","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/k6rzmPtj4A","http://to.twngo.xyz/2sH6gAl","to.twngo.xyz/2sH6gAl","24.0","47.0","0.0","47.0","0.0","null","null","872814081429917696","null","False","0.0","8.728140814299177E17","null","False","Thu Jun 08 13:54:27 +0000 2017","null","False","[綠色和平台灣]為保護環境做對的事，絕不退縮！ https://t.co/k6rzmPtj4A","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/vtzzROZp5F","http://to.twngo.xyz/2r93iTm","to.twngo.xyz/2r93iTm","34.0","57.0","0.0","57.0","0.0","null","null","872786726443417602","null","False","0.0","8.727867264434176E17","null","False","Thu Jun 08 12:05:45 +0000 2017","null","False","董氏基金會菸害防制中心 just uploaded a video https://t.co/vtzzROZp5F","ja","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/vdTsR9vIg3","http://to.twngo.xyz/2rEIuGR","to.twngo.xyz/2rEIuGR","34.0","57.0","0.0","57.0","0.0","null","null","872786723243274240","null","False","0.0","8.7278672324327424E17","null","False","Thu Jun 08 12:05:45 +0000 2017","null","False","董氏基金會菸害防制中心 just uploaded a video https://t.co/vdTsR9vIg3","ja","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","MigrantWorker","61.0","75.0","https://t.co/VPdgmDJv1Z","http://to.twngo.xyz/2rPq7NA","to.twngo.xyz/2rPq7NA","37.0","60.0","0.0","75.0","0.0","null","null","872783870135062528","null","False","0.0","8.7278387013506253E17","null","False","Thu Jun 08 11:54:24 +0000 2017","null","False","[One-Forty]2017 夏季【小小兵實習/志工計畫】來了！來了！ https://t.co/VPdgmDJv1Z #MigrantWorker","zh","","null","null","null"
